Gene_level,D_17_sum,D_18_sum,X_17_sum,X_18_sum,E_17_sum,E_18_sum,F_17_sum,F_18_sum,L_17_sum,L_18_sum
K22770,0.161318287706706,1.25204066961728,1.00615416894823,0.677508595903794,1.16634340548175,1.82269448618933,0.543382810647253,2.63174366360694,0.121566354731018,3.93847711147019
K22797,0,0.734995032069319,0,0.214146236215927,0.106892317237613,1.85343413341677,0.450709207190255,2.66112575087051,0.0514596680467154,1.63091931299553
K22818,0.23109367446932,1.9802100785942,0.0204632314209782,1.34373384875423,4.99545415942585,8.23847374993329,2.79877091247279,7.56569425234404,2.34169395681144,5.82377753792032
K22819,0,0.934624551333042,0,0.663860984811821,1.48495653728508,3.33796231443845,1.06831879683157,2.66170193845823,1.68810774152508,3.26118360385138
K22820,0,0.695481656389802,0,0.633736265964176,0.179476925157296,0.965042253395863,0.580274440455298,1.66677019991096,0.0755977131185461,3.13089291123858
K22821,0,0.6562673286109,0,0.315808644794903,0.0438445961366384,0.931050881154059,0.306947013865192,1.16133448875376,0.0502488523279692,1.93721120695659
K22822,0,0.920184628492659,0,0.598094976691865,0.0786158165539435,1.10256705594617,0.214484046707287,1.03706316162402,0.0440324994626534,1.75770584185058
K22847,0,0.260327125396534,0,0.205741457380615,0.0665855169784777,0.165497024814198,0.106529015214855,0.555332394008655,0,0.108954511077424
K22874,0.106293779547141,0.247179529361085,0.186597112484124,0.0500867761926206,0.114231131696989,0.0730326982619477,NA,NA,0,0.0640275892257453
K22879,4.84175675039816,1.19401138839073,3.82264285866404,3.49051221076554,6.51669934263867,12.2381181195674,6.87082419800508,8.25185646229284,12.515954535581,7.4724826701928
K22881,50.820217666075,59.2282842577307,24.8285617814777,124.362825409782,2.7356086830649,0.824097563649207,0.00583254220858769,0.89937661494176,0.0964868775875914,0.0234317834064098
K22895,0.129407048578508,0.0104071507114796,NA,NA,0.139715397135374,1.78889696033225,NA,NA,NA,NA
K22900,1.58651401198405,5.60792587301249,1.00605552256272,1.31646960836538,14.1082045607947,22.9303238984184,6.5055277688631,7.98039488282332,41.3287630691483,8.41965096756519
K22902,0,0.0448644396217565,NA,NA,0.0864647459794502,0.92561391003503,0.380164637151897,0.790506446767792,0.0432567779827581,1.69259836213128
K22905,0.625954702494085,12.7760445653366,0.571628595965656,3.44528282162826,17.2896189002661,8.62021511487384,2.66654240264141,15.9535204331899,2.79780437541398,15.6882753943415
K22907,1.90926030330488,0.937415896745023,0.918198195946713,1.31164688514391,2.8054378715411,3.78104801640557,2.87251189342106,5.68797305504308,2.64860155540515,9.4841319044692
K22927,0.0522434213053097,0.20894000587285,0.264241506719175,0,0.143973739796291,0.336785448366044,0.526575506260781,0.552771398371359,0,0.046305667207905
K22934,0.00391426245253849,1.42384985734175,0,0.997332329712679,0.323826685536131,2.73233149627213,0.487776672710797,2.20671343386383,0.112313078850434,3.52640243918542
K22935,102.766603408283,83.2391806419394,35.98834745712,120.651366431312,15.25778088793,42.1986199691647,23.9741206705374,28.3152770069503,25.7889577278982,52.0354191353055
